id,key,English,Hindi,Tamil,Gujarati,Bengali,Telugu,Marathi,Malayalam,Kannada,channel
"73","updatedPassword","Now you can Login with your new password","अब आप अपने नए पासवर्ड से लॉगइन कर सकते हैं","இப்போது நீங்கள் உங்கள் புதிய கடவுச்சொல்லுடன் உள்நுழையலாம்","Now you can Login with your new password","Now you can Login with your new password","ಈಗ ನೀವು ನಿಮ್ಮ ಹೊಸ ಪಾಸ್·ವರ್ಡ್·ನೊಂದಿಗೆ ಲಾಗಿನ್ ಮಾಡಬಹುದು","Now you can Login with your new password","Now you can Login with your new password","ಈಗ ನೀವು ನಿಮ್ಮ ಹೊಸ ಪಾಸ್·ವರ್ಡ್·ನೊಂದಿಗೆ ಲಾಗಿನ್ ಮಾಡಬಹುದು","IB"
"74","debitCardNumberLabel","Debit Card Number","डेबिट कार्ड नंबर","டெபிட் கார்டு எண்","Debit Card Number","Debit Card Number","ಡೆಬಿಟ್ ಕಾರ್ಡ್ ಸಂಖ್ಯೆ","Debit Card Number","Debit Card Number","ಡೆಬಿಟ್ ಕಾರ್ಡ್ ಸಂಖ್ಯೆ","IB"
"75","partialClosureMessage","Partial closure available for balance up to 1000","इक्विटास के साथ अपना पैसा बढ़ाएँ","1000 வரையிலான இருப்புத்தொகைக்கு பகுதி மூடல் கிடைக்கிறது","Partial closure available for balance up to 1000","Partial closure available for balance up to 1000","Partial closure available for balance up to 1000","Partial closure available for balance up to 1000","Partial closure available for balance up to 1000","1000 ವರೆಗಿನ ಬಾಕಿಗೆ ಭಾಗಶಃ ಮುಚ್ಚುವಿಕೆ ಲಭ್ಯವಿದೆ","IB"
"76","account","Account","इक्विटास के साथ अपना पैसा बढ़ाएँ","கணக்கு","Account","Account","Account","Account","Account","ಖಾತೆ","IB"
"77","userIdFound","User ID found!","यूजर ID मिली!","பயனர் ID கண்டறியப்பட்டது!","User ID found!","User ID found!","ಬಳಕೆದಾರ ID ಕಂಡುಬಂದಿದೆ!","User ID found!","User ID found!","ಬಳಕೆದಾರ ID ಕಂಡುಬಂದಿದೆ!","IB"
"78","disputeConfirmation","Would like to raise Dispute/Complaint?","क्या आप विवाद/शिकायत दर्ज करना चाहेंगे?","பிரச்சனை/புகார் எழுப்ப விரும்புகிறீர்களா?","Would like to raise Dispute/Complaint?","Would like to raise Dispute/Complaint?","ವಿವಾದ/ದೂರು ಸಲ್ಲಿಸಲು ಬಯಸುವಿರಾ?","Would like to raise Dispute/Complaint?","Would like to raise Dispute/Complaint?","ವಿವಾದ/ದೂರು ಸಲ್ಲಿಸಲು ಬಯಸುವಿರಾ?","IB"
"79","availaleKYC","Available on weekdays","कार्यदिवसों पर उपलब्ध है","வாரநாட்களில் கிடைக்கும்","Available on weekdays","Available on weekdays","ವಾರದ ದಿನಗಳಲ್ಲಿ ಲಭ್ಯವಿದೆ","Available on weekdays","Available on weekdays","ವಾರದ ದಿನಗಳಲ್ಲಿ ಲಭ್ಯವಿದೆ","IB"
"80","contactlessPayment","Contactless payment","संपर्क रहित भुगतान","தொடர்பில்லா பேமெண்ட்","Contactless payment","Contactless payment","ಸಂಪರ್ಕರಹಿತ ಪಾವತಿ","Contactless payment","Contactless payment","ಸಂಪರ್ಕರಹಿತ ಪಾವತಿ","IB"
"81","gift","Gift","गिफ्ट","பரிசு","Gift","Gift","ಉಡುಗೊರೆ","Gift","Gift","ಉಡುಗೊರೆ","IB"
"82","transactionDetails","Transaction Details","इक्विटास के साथ अपना पैसा बढ़ाएँ","பரிவர்த்தனை விவரங்கள்","Transaction Details","Transaction Details","Transaction Details","Transaction Details","Transaction Details","ವಹಿವಾಟಿನ ವಿವರಗಳು","IB"
"83","education","Education","शिक्षा","கல்வி","Education","Education","ಶಿಕ್ಷಣ","Education","Education","ಶಿಕ್ಷಣ","IB"
"84","myProfile","My Profile","मेरी प्रोफाइल","எனது சுயவிவரம்","My Profile","My Profile","ನನ್ನ ಪ್ರೊಫೈಲ್","My Profile","My Profile","ನನ್ನ ಪ್ರೊಫೈಲ್","IB"
"85","mobileNumber","Mobile Number","मोबाइल नंबर","மொபைல் எண்","Mobile Number","Mobile Number","ಮೊಬೈಲ್ ಸಂಖ್ಯೆ","Mobile Number","Mobile Number","ಮೊಬೈಲ್ ಸಂಖ್ಯೆ","IB"
"86","emailUs","Email Us","हमें ईमेल करें","எங்களுக்கு மின்னஞ்சல் செய்க","Email Us","Email Us","ನಮಗೆ ಇಮೇಲ್ ಮಾಡಿ","Email Us","Email Us","ನಮಗೆ ಇಮೇಲ್ ಮಾಡಿ","IB"
"87","channel","Channel","चैनल","சேனல்","Channel","Channel","ಚಾನಲ್","Channel","Channel","ಚಾನಲ್","IB"
"88","enrolforNPS","Enrol for NPS","NPS के लिए नामांकन करें","NPS-இல் பதிவு செய்யுங்கள்","Enrol for NPS","Enrol for NPS","NPS ಗೆ ನೋಂದಾಯಿಸಿ","Enrol for NPS","Enrol for NPS","NPS ಗೆ ನೋಂದಾಯಿಸಿ","IB"
"89","netBankingOrDebitCard","Net Banking/Debit Card","इक्विटास के साथ अपना पैसा बढ़ाएँ","நெட் பேங்கிங்/டெபிட் கார்டு","Net Banking/Debit Card","Net Banking/Debit Card","Net Banking/Debit Card","Net Banking/Debit Card","Net Banking/Debit Card","ನೆಟ್ ಬ್ಯಾಂಕಿಂಗ್/ಡೆಬಿಟ್ ಕಾರ್ಡ್","IB"
"90","noRecordsFound","No Records Found","इक्विटास के साथ अपना पैसा बढ़ाएँ","எந்த பதிவுகளும் கண்டறியப்படவில்லை","No Records Found","No Records Found","No Records Found","No Records Found","No Records Found","ಯಾವುದೇ ದಾಖಲೆಗಳು ಕಂಡುಬಂದಿಲ್ಲ","IB"
"91","number","Number","नंबर","எண்","Number","Number","ಸಂಖ್ಯೆ","Number","Number","ಸಂಖ್ಯೆ","IB"
"92","dateOpened","Date Opened","इक्विटास के साथ अपना पैसा बढ़ाएँ","திறக்கப்பட்ட தேதி","Date Opened","Date Opened","Date Opened","Date Opened","Date Opened","ತೆರೆಯಲಾದ ದಿನಾಂಕ","IB"
"93","recurringPayamount","Amount","राशी/ मात्रा","தொகை","Amount","Amount","ಮೊತ್ತ","Amount","Amount","ಮೊತ್ತ","IB"
"94","emiAmount","EMI Amount","इक्विटास के साथ अपना पैसा बढ़ाएँ","EMI தொகை","EMI Amount","EMI Amount","EMI Amount","EMI Amount","EMI Amount","EMI ಮೊತ್ತ","IB"
"95","stateName","State","इक्विटास के साथ अपना पैसा बढ़ाएँ","மாநிலம்","State","State","State","State","State","ರಾಜ್ಯ","IB"
"96","updateNominee","Update Nominee","नामांकित व्यक्ति को अद्यतन करें","நியமனதாரரை புதுப்பிக்கவும்","Update Nominee","Update Nominee","ನಾಮಿನಿಯನ್ನು ನವೀಕರಿಸಿ","Update Nominee","Update Nominee","ನಾಮಿನಿಯನ್ನು ನವೀಕರಿಸಿ","IB"
"97","chequebookrequest","Cheque Book Request","चेक बुक अनुरोध","காசோலை புத்தகம் கோரிக்கை","Cheque Book Request","Cheque Book Request","ಚೆಕ್ ವಿನಂತಿ ವಿನಂತಿ","Cheque Book Request","Cheque Book Request","ಚೆಕ್ ವಿನಂತಿ ವಿನಂತಿ","IB"
"98","preferredName","Add Preferred Name","पसंदीदा नाम जोड़ें","விருப்ப பெயரைச் சேர்க்கவும்","Add Preferred Name","Add Preferred Name","ಆದ್ಯತೆಯ ಹೆಸರನ್ನು ಸೇರಿಸಿ","Add Preferred Name","Add Preferred Name","ಆದ್ಯತೆಯ ಹೆಸರನ್ನು ಸೇರಿಸಿ","IB"
"99","tdsEnquiry","TDS Enquiry","TDS पूछताछ","TDS பற்றிய கேள்வி","TDS Enquiry","TDS Enquiry","TDS ವಿಚಾರಣೆ","TDS Enquiry","TDS Enquiry","TDS ವಿಚಾರಣೆ","IB"
"100","editRecurringPayment","Edit Recurring Payment","आवर्ती भुगतान संपादित करें","ரெக்கரிங் பேமெண்டுகளை திருத்துக","Edit Recurring Payment","Edit Recurring Payment","ಮರುಕಳಿಸುವ ಪಾವತಿಯನ್ನು ಸಂಪಾದಿಸಿ","Edit Recurring Payment","Edit Recurring Payment","ಮರುಕಳಿಸುವ ಪಾವತಿಯನ್ನು ಸಂಪಾದಿಸಿ","IB"
"101","savingAccountRewards","Savings Account Reward Points","बचत खाता रिवार्ड अंक","சேமிப்பு கணக்கு வெகுமதி புள்ளிகள்","Savings Account Reward Points","Savings Account Reward Points","Savings Account Reward Points","Savings Account Reward Points","Savings Account Reward Points","ಉಳಿತಾಯ ಖಾತೆ ರಿವಾರ್ಡ್ ಪಾಯಿಂಟ್‌ಗಳು","IB"
"102","proceed","Proceed","आगे बढ़ना","தொடரவும்","Proceed","Proceed","ಮುಂದುವರೆಯಿರಿ","Proceed","Proceed","ಮುಂದುವರೆಯಿರಿ","IB"
"103","productPromotion","Product Promotion and Nudges","उत्पाद संवर्धन और सुझाव","தயாரிப்பு விளம்பரங்கள் மற்றும் நட்ஜ்கள்","Product Promotion and Nudges","Product Promotion and Nudges","ಉತ್ಪನ್ನ ಪ್ರಚಾರ ಮತ್ತು ನಡ್ಜ್·ಗಳು","Product Promotion and Nudges","Product Promotion and Nudges","ಉತ್ಪನ್ನ ಪ್ರಚಾರ ಮತ್ತು ನಡ್ಜ್·ಗಳು","IB"
"104","passwordsDoNotMatch","Passwords do NOT match","इक्विटास के साथ अपना पैसा बढ़ाएँ","கடவுச்சொற்கள் பொருந்தவில்லை","Passwords do NOT match","Passwords do NOT match","Passwords do NOT match","Passwords do NOT match","Passwords do NOT match","ಪಾಸ್ವರ್ಡ್ಗಳು ತಾಳೆಯಾಗುತ್ತಿಲ್ಲ","IB"
"105","startChequeNumber","Start Cheque Number","चेक का शुरवाती नंबर","காசோலை எண் தொடக்கம்","Start Cheque Number","Start Cheque Number","ಪ್ರಾರಂಭ ಚೆಕ್ ಸಂಖ್ಯೆ","Start Cheque Number","Start Cheque Number","ಪ್ರಾರಂಭ ಚೆಕ್ ಸಂಖ್ಯೆ","IB"
"106","educationPlan","Education Plan","शिक्षा योजना","கல்வித் திட்டம்","Education Plan","Education Plan","ಶಿಕ್ಷಣ ಯೋಜನೆ","Education Plan","Education Plan","ಶಿಕ್ಷಣ ಯೋಜನೆ","IB"
"107","growYourMoneyWithEquitas","Grow your Money with Equitas","इक्विटास के साथ अपना पैसा बढ़ाएँ","Equitas மூலம் உங்கள் பணத்தைப் பெறுக்கிடுங்கள்","Grow your Money with Equitas","Grow your Money with Equitas","Grow your Money with Equitas","Grow your Money with Equitas","Grow your Money with Equitas","ಈಕ್ವಿಟಾಸ್ ಮೂಲಕ ನಿಮ್ಮ ಹಣವನ್ನು ಹೆಚ್ಚಿಸಿಕೊಳ್ಳಿ","IB"
"108","setup","Setup","स्थापित करें","அமைவு","Setup","Setup","ಸೆಟಪ್","Setup","Setup","ಸೆಟಪ್","IB"
"109","userIdRequiredError","Enter your User ID","अपना यूजर ID दर्ज करें","உங்கள் பயனர் ID-ஐ உள்ளிடவும்","Enter your User ID","Enter your User ID","ನಿಮ್ಮ ಬಳಕೆದಾರ ID ಅನ್ನು ನಮೂದಿಸಿ","Enter your User ID","Enter your User ID","ನಿಮ್ಮ ಬಳಕೆದಾರ ID ಅನ್ನು ನಮೂದಿಸಿ","IB"
"110","reEnterPin","Re-enter 4-digit PIN","इक्विटास के साथ अपना पैसा बढ़ाएँ","4 இலக்க பின்னை மீண்டும் உள்ளிடவும்","Re-enter 4-digit PIN","Re-enter 4-digit PIN","Re-enter 4-digit PIN","Re-enter 4-digit PIN","Re-enter 4-digit PIN","4-ಅಂಕಿಯ ಪಿನ್ ಅನ್ನು ಮರು-ನಮೂದಿಸಿ","IB"
